benchmark,ad,original
nn_normal,1.48,1.18
nn_unrolled,4.31,6.63
matdescent_normal,1.78,1.0
matdescent_unrolled,2.78,1.99
gravity_normal,1.4,1.0
gravity_unrolled,2.53,15.96
fft_normal,2.24,1.35
fft_unrolled,2.11,1.34
taylorlog_normal,2.29,1.22
taylorlog_unrolled,1.71,-1
logsumexp_normal,49.59,1.0
logsumexp_unrolled,49.59,1.0
ode_normal,1.5,10.92
ode_unrolled,2.05,14.68
