benchmark,ld_ld,st_ld,rev_to_fw
nn_normal,0.93,0.07,0.5
matdescent_normal,0.97,0.03,0.97
gravity_normal,1.0,0.0,1.82
logsumexp_normal,0.5,0.5,1.0
mttkrp_normal,0.0,1.0,0.55
pathfinder_normal,0.0,0.94,1.12
somier_normal,0.0,1.0,0.33
