benchmark,ad,original
nn_normal,0.77,0.0
matdescent_normal,0.5,0.0
gravity_normal,1.0,0.0
logsumexp_normal,0.5,0.0
mttkrp_normal,0.32,0.0
pathfinder_normal,0.19,0.0
somier_normal,0.68,0.0
lenet_normal,0.75,0.0
