benchmark,lifetime_0,lifetime_1,lifetime_2,lifetime_3,lifetime_4,edge_count_0,edge_count_1,edge_count_2,edge_count_3,edge_count_4
nn,18067342,0,0,0,329,7840,0,0,0,45
matdescent,12821534249,1992723199,1423558039,854463942,285380926,192022,32045,32044,32044,32245
gravity,20945753057,1925033267,1373834921,822987425,273109082,287827,26214,26201,26176,26030
logsumexp,12263999,10270278,8299354,6336738,36690553,2003,1999,1998,1999,12001
mttkrp,13589309,10561683,7548779,4530950,1513102,2458,2456,2457,2457,2460
pathfinder,1608076464,922802563,239272851,0,0,28631,28751,24852,7587,7588
somier,637217,496576,358126,214170,73529,387,387,390,387,393
lenet,18149288,8926909,6389754,3850077,1336061,3367,2054,2054,2052,2458
